Unnamed: 0,trajectory_id,htpmd_version,s3_bucket,s3_prefix,conductivity,li_diffusivity,tfsi_diffusivity,poly_diffusivity,mol_smiles,poly_smiles,transference_number,molarity
1067,1097,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-413642153-0,0.000115973,2.20E-08,3.79E-08,3.47E-08,CNCCCN(CCCO[Cu])CCOC(=O)[Au],CNCCCN(CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC(=O)OCCN(CCCNC)CCCOC)CCOC(C)=O,0.262268652,1.498728044
195,223,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-1119509583-0,0.000115969,2.56E-08,3.36E-08,1.35E-08,O=C([Au])OCC(CNC(=O)C(F)F)O[Cu],COC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(=O)OC(CNC(=O)C(F)F)COC(C)=O,0.167399846,1.370874232
5594,5629,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-322586180-0,0.000115868,2.89E-08,6.44E-08,2.60E-08,CC#CCOCC(CO[Cu])OC(=O)[Au],CC#CCOCC(COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COCC#CC)COC(=O)OC(COC)COCC#CC)OC(C)=O,-0.360227221,1.346399585
1505,1540,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_after_900/9-0-413659708-0,0.000115767,2.72E-08,6.01E-08,4.42E-08,COCC(CCO[Cu])NC(C)CCOC(=O)[Au],COCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(=O)OCCC(COC)NC(C)CCOC(C)=O,0.027825674,1.426000553
1415,1450,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_after_900/9-0-1119512990-0,0.000115756,3.09E-08,2.75E-08,1.81E-08,CC(CNC(=O)[Au])N(C)C(=O)COCCN[Cu],CNCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(=O)NCCOCC(=O)N(C)C(C)CNC(C)=O,0.37708881,1.493440867
7264,7299,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-478224016-0,0.00011566,1.32E-08,1.78E-08,7.66E-09,O=C([Au])NCC(=O)NCCNC(=O)CN[Cu],CNCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(=O)NCC(=O)NCCNC(=O)CNC(C)=O,0.339750629,1.470843297
360,388,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-413599046-0,0.000115311,3.26E-08,4.37E-08,3.62E-08,CC(C)(CNCCOCCO[Cu])OC(=O)[Au],COCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(=O)OCCOCCNCC(C)(C)OC(C)=O,0.342732371,1.449072744
1133,1163,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-428453075-0,0.000115257,1.39E-08,2.20E-08,1.52E-08,O=C([Au])OCCS(=O)CCO[Cu],COCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(=O)OCCS(=O)CCOC(C)=O,0.220266186,1.443278644
5124,5159,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-13130184-0,0.000115223,2.04E-08,3.14E-08,1.64E-08,C=C(COC(=O)[Au])C(=O)NCC(COC)O[Cu],C=C(COC(C)=O)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC(=O)OCC(=C)C(=O)NCC(COC)OC,0.144726521,1.35554438
6846,6881,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-413609428-0,0.000114916,3.33E-08,7.45E-08,2.67E-08,CN(CC(F)F)CC(CO[Cu])OC(=O)[Au],COCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(=O)OCC(CN(C)CC(F)F)OC(C)=O,-0.261594461,1.370566697
4858,4893,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-246228533-0,0.000114821,3.62E-08,6.77E-08,4.67E-08,CCC(CN(C)CCCCCO[Cu])OC(=O)[Au],CCC(CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC(=O)OC(CC)CN(C)CCCCCOC)OC(C)=O,-0.496984035,1.493166137
4482,4517,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-1119525360-0,0.000114805,1.23E-08,3.16E-08,1.60E-08,COCC(CCOC(=O)[Au])NC(=O)CO[Cu],COCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(=O)OCC(=O)NC(CCOC(C)=O)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC)COC,0.130191508,1.434980461
6377,6412,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5_dummy_1200/9-0-413595280-0,0.000114641,2.86E-08,6.76E-08,3.20E-08,CC(CO[Cu])NCC(COC(C)C)OC(=O)[Au],COCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(=O)OCC(C)NCC(COC(C)C)OC(C)=O,-0.064514175,1.336078708
